Language1, Language2, SimilarityScore, Time
id, id, 1.0, 8.940696716308594e-05
id, fr, 0.3300597076573859, 2.5510787963867188e-05
id, tr, 1.0, 2.2411346435546875e-05
id, lv, 1.0, 1.9788742065429688e-05
id, el, 1.0, 2.0503997802734375e-05
id, es, 1.0, 1.9788742065429688e-05
id, pl, 1.0, 1.9073486328125e-05
id, vi, 1.0, 1.9073486328125e-05
id, de, 1.0, 1.9073486328125e-05
id, sh, 1.0, 1.9073486328125e-05
id, nl, 1.0, 1.9073486328125e-05
id, pt, 1.0, 1.9311904907226562e-05
id, ro, 1.0, 2.0265579223632812e-05
id, ja, 1.0, 1.9073486328125e-05
id, it, 1.0, 1.8835067749023438e-05
id, ceb, 1.0, 1.8835067749023438e-05
id, he, 1.0, 1.9550323486328125e-05
id, da, 1.0, 1.9073486328125e-05
id, en, 0.3265665598650711, 1.9788742065429688e-05
id, sr, 1.0, 1.8596649169921875e-05
id, sv, 1.0, 1.8835067749023438e-05
id, ru, 1.0, 1.8835067749023438e-05
id, hi, 1.0, 1.8835067749023438e-05
id, arz, 1.0, 1.8596649169921875e-05
id, bs, 1.0, 1.8835067749023438e-05
id, zh, 1.0, 1.9788742065429688e-05
id, mk, 1.0, 1.9788742065429688e-05
id, hu, 1.0, 1.9550323486328125e-05
id, ko, 1.0, 1.8835067749023438e-05
id, union, 0.2821470440338533, 1.9073486328125e-05
fr, fr, 1.0, 1.8596649169921875e-05
fr, tr, 0.3300597076573859, 1.8835067749023438e-05
fr, lv, 0.3300597076573859, 1.8596649169921875e-05
fr, el, 0.3300597076573859, 1.8358230590820312e-05
fr, es, 0.3300597076573859, 1.8835067749023438e-05
fr, pl, 0.3300597076573859, 1.8358230590820312e-05
fr, vi, 0.3300597076573859, 1.8835067749023438e-05
fr, de, 0.3300597076573859, 1.9073486328125e-05
fr, sh, 0.3300597076573859, 1.9311904907226562e-05
fr, nl, 0.3300597076573859, 1.9073486328125e-05
fr, pt, 0.3300597076573859, 1.8596649169921875e-05
fr, ro, 0.3300597076573859, 1.8596649169921875e-05
fr, ja, 0.3300597076573859, 1.8835067749023438e-05
fr, it, 0.3300597076573859, 1.8596649169921875e-05
fr, ceb, 0.3300597076573859, 1.8835067749023438e-05
fr, he, 0.3300597076573859, 1.9311904907226562e-05
fr, da, 0.3300597076573859, 1.9550323486328125e-05
fr, en, 0.2555107519989127, 1.8835067749023438e-05
fr, sr, 0.3300597076573859, 1.9073486328125e-05
fr, sv, 0.3300597076573859, 1.8835067749023438e-05
fr, ru, 0.3300597076573859, 1.8358230590820312e-05
fr, hi, 0.3300597076573859, 1.9311904907226562e-05
fr, arz, 0.3300597076573859, 1.9073486328125e-05
fr, bs, 0.3300597076573859, 1.9311904907226562e-05
fr, zh, 0.3300597076573859, 1.8835067749023438e-05
fr, mk, 0.3300597076573859, 1.8596649169921875e-05
fr, hu, 0.3300597076573859, 1.9311904907226562e-05
fr, ko, 0.3300597076573859, 1.9311904907226562e-05
fr, union, 0.2659317847001474, 1.8835067749023438e-05
tr, tr, 1.0, 1.9073486328125e-05
tr, lv, 1.0, 1.8835067749023438e-05
tr, el, 1.0, 1.8596649169921875e-05
tr, es, 1.0, 1.811981201171875e-05
tr, pl, 1.0, 1.9073486328125e-05
tr, vi, 1.0, 1.9311904907226562e-05
tr, de, 1.0, 1.8358230590820312e-05
tr, sh, 1.0, 1.811981201171875e-05
tr, nl, 1.0, 1.8835067749023438e-05
tr, pt, 1.0, 1.8835067749023438e-05
tr, ro, 1.0, 1.8358230590820312e-05
tr, ja, 1.0, 1.8835067749023438e-05
tr, it, 1.0, 1.8596649169921875e-05
tr, ceb, 1.0, 1.9550323486328125e-05
tr, he, 1.0, 1.9550323486328125e-05
tr, da, 1.0, 1.8596649169921875e-05
tr, en, 0.3265665598650711, 1.8835067749023438e-05
tr, sr, 1.0, 1.8596649169921875e-05
tr, sv, 1.0, 1.8596649169921875e-05
tr, ru, 1.0, 1.8835067749023438e-05
tr, hi, 1.0, 1.8358230590820312e-05
tr, arz, 1.0, 1.8596649169921875e-05
tr, bs, 1.0, 1.7642974853515625e-05
